"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jul 01 18:11:01 CST 2021","Thu Jul 01 18:11:13 CST 2021","12012","testcase","test_case01","Test_BaiduSearch","","","test01[params2]","
        登录case用例
        :param params:
        :return:
        "
"broken","Thu Jul 01 18:10:29 CST 2021","Thu Jul 01 18:10:48 CST 2021","19019","testcase","test_case01","Test_BaiduSearch","","","test01[params0]","
        登录case用例
        :param params:
        :return:
        "
"broken","Thu Jul 01 18:10:49 CST 2021","Thu Jul 01 18:11:01 CST 2021","12012","testcase","test_case01","Test_BaiduSearch","","","test01[params1]","
        登录case用例
        :param params:
        :return:
        "
